,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
1538,ServiceFacility,47.66908,-122.38627,0.3010299956639812,4.477135730961123,Store,ServiceFacility,None,,6.039391015681647,1.1504494094608806,89.1,0.0,10.9,86.09,0.0,0.0,0.0,0.0,88,2
1557,ServiceFacility,47.67482,-122.37316,0.3010299956639812,4.478393320414343,ServiceFacility,None,None,,6.722193070912525,1.577146984827525,100.0,0.0,0.0,101.55,0.0,0.0,0.0,0.0,74,1
1558,ServiceFacility,47.66327,-122.37439,0.3010299956639812,4.606875577522435,ServiceFacility,None,None,92.0,5.895563247641644,1.4805817868291689,34.5,0.0,65.5,100.0,0.0,0.0,0.0,0.0,41,1
1559,Store,47.66318,-122.37283,0.3010299956639812,4.371086342494794,Store,None,None,53.0,6.056130240560353,1.1550322287909702,89.8,0.0,10.2,100.0,0.0,0.0,0.0,0.0,20,1
1560,Store,47.67518,-122.36549,0.3010299956639812,4.350654978678079,Store,None,None,82.0,6.147445901585246,1.5157414166693652,66.04,0.0,33.96,102.89,0.0,0.0,0.0,0.0,49,1
1563,Store,47.64909,-122.37788,0.3010299956639812,4.412342927582326,Store,None,None,35.0,6.930353644889396,2.377561214917793,54.67,0.0,45.33,100.56,0.0,0.0,0.0,0.0,55,1
1565,ServiceFacility,47.65018,-122.37787,0.3010299956639812,4.4214393902200495,ServiceFacility,ServiceFacility,None,,6.082080011457248,0.9740509027928773,100.0,0.0,0.0,63.53,36.47,0.0,0.0,0.0,24,2
1566,ServiceFacility,47.65252,-122.37587,0.3010299956639812,4.412628520544375,ServiceFacility,ServiceFacility,None,88.0,5.933882743441809,1.2013971243204515,77.52,0.0,22.48,100.0,15.47,0.0,0.0,0.0,34,2
1567,ServiceFacility,47.66238,-122.38831,0.3010299956639812,4.408256929608717,ServiceFacility,ServiceFacility,None,1.0,6.238197107172959,1.5472823079633031,72.21,0.0,27.79,80.47,19.53,0.0,0.0,0.0,42,2
1568,ServiceFacility,47.66126,-122.38751,0.3010299956639812,4.364926033789976,ServiceFacility,None,None,,5.346855264901551,0.4065401804339551,100.0,0.0,0.0,44.02,0.0,0.0,0.0,0.0,51,1
